Order Date,Sale Price,Predicted Price,Lower Predicted CI,Upper Predicted CI
2020-05-30,327.1111111111111,345.33905926496993,254.97671028361538,435.7014082463245
2020-05-31,339.2,349.9032507774722,256.33038962194956,443.4761119329948
2020-06-01,329.25,354.9520455458334,258.27523143383775,451.6288596578291
2020-06-02,348.7142857142857,354.2838141894283,254.59965093620315,453.9679774426535
2020-06-03,336.4166666666667,343.9784281844344,241.37502465049246,446.5818317183763
2020-06-04,341.75,353.82106896103596,248.3792156505632,459.2629222715087
2020-06-05,328.7857142857143,369.99001157980564,255.3634122386871,484.6166109209242
2020-06-06,348.77777777777777,366.78707031181665,246.1733687129821,487.4007719106512
2020-06-07,374.0,361.7767846312183,235.75148501048605,487.80208425195053
2020-06-08,333.1818181818182,359.8750951936727,228.69823901246156,491.0519513748838
2020-06-09,346.61538461538464,358.73419548747114,222.60535941736427,494.863031557578
2020-06-10,354.2307692307692,358.21902428084326,217.31274872037693,499.1252998413096
2020-06-11,351.9,363.6150041449339,218.08812112452233,509.14188716534545
2020-06-12,350.1818181818182,365.0346834892865,215.02946440890955,515.0399025696635
2020-06-13,343.0,370.42005870623973,216.06638235460392,524.7737350578756
2020-06-14,344.3333333333333,369.58758489297435,211.00464445099684,528.1705253349519
2020-06-15,341.85714285714283,360.1242176087769,197.42191096351743,522.8265242540364
2020-06-16,349.0833333333333,369.48188959228133,202.76196824168616,536.2018109428765
2020-06-17,364.9166666666667,386.43287338376524,211.25410768724663,561.6116390802838
2020-06-18,365.2857142857143,383.2300927812547,201.72031238850153,564.7398731740079
2020-06-19,346.6666666666667,377.36569559924436,189.94890212613126,564.7824890723575
2020-06-20,346.90909090909093,376.0007758139324,182.88463951497852,569.1169121128863
2020-06-21,348.8,373.47629920304746,174.82779082597966,572.1248075801152
2020-06-22,345.6666666666667,373.501459504853,169.4709955589406,577.5319234507655
2020-06-23,351.5833333333333,378.44510919887347,169.1711130785907,587.7191053191563
2020-06-24,358.0,381.4086932389715,167.01938071550924,595.7980057624338
2020-06-25,362.8,386.6288128908992,167.24342425678265,606.0142015250158
2020-06-26,365.92857142857144,385.8769794717007,161.60678504609712,610.1471738973042
2020-06-27,349.72727272727275,376.00019459284067,146.94934551958949,605.0510436660918
2020-06-28,348.1666666666667,385.5959784222895,151.86223500133008,619.3297218432489
2020-06-29,385.8,402.1629926266783,159.41114706774275,644.9148381856139
